房源id,"维度,经度",房源名称,物业类型,物业费,建造年代,绿化率,所属商圈,二手房房源数,租房源数,均价,价格中位数
607731,"31.865198,117.301783",省委大院,公寓,0.5元/㎡/月,1990年,20%(一般),"三孝口,四牌楼",63套,3套,30985,30158.5
829718,"31.850416,117.237084",新华优阁,公寓,1.42元/㎡/月,2010年,40%(高),"黄山路,1912商业街,黄潜望",228套,64套,18137,18190.5
337339,"31.897042,117.341478",康城水云间,公寓,0.8元/㎡/月,2008年,40%(高),生态公园,155套,31套,12572,12902.5
337418,"31.835554,117.300053",太宁花园,公寓,0.7元/㎡/月,2002年,40%(高),"宁国路,太宁路口,卫岗",78套,8套,15183,15192.0
338219,"31.899644,117.290141",祥源上城国际新界,公寓,1元/㎡/月,2010年,35%(一般),"海棠社区,杏林花园",463套,73套,17162,17544.0
829806,"31.755965,117.277272",中环湖滨公馆,公寓,1.43元/㎡/月,2017年,40%(高),"海恒社区,南艳湖",121套,38套,18116,17313.5
399274,"31.850044,117.25547",通和易居同辉(南苑),公寓,1元/㎡/月,2012年,46%(高),"国防科技大学,长江西路,贵池路",152套,95套,27993,25941.5
502585,"31.84776,117.318166",文昌雅居,公寓,0.2元/㎡/月,2012年,30%(一般),"巢湖路,马鞍山路,周谷堆",279套,52套,13145,13141.0
829720,"31.825539,117.161956",新华御湖庄园,公寓,0.3元/㎡/月,2017年,40%(高),"大蜀山,柏堰湖",53套,13套,20425,20399.0
337646,"31.745115,117.286361",滨湖品阁,公寓,1.05元/㎡/月,2007年,43%(高),"书香门第,四十六中",138套,22套,24300,24163.0
619700,"31.741174,117.193282",滨河家园,公寓,1.2元/㎡/月,暂无数据,41%(高),肥西县城,5套,8套,7213,7985.5
338157,"31.891395,117.300823",美晨雅阁,公寓,1元/㎡/月,2000年,31%(一般),火车站,204套,46套,13246,13231.0
401215,"31.898491,117.448821",盛嘉欧园,公寓,1.3元/㎡/月,2013年,45%(高),肥东新城,66套,2套,10927,10965.0
399194,"31.864196,117.223487",福乐门国际广场,公寓,1.1元/㎡/月,2012年,40%(高),"十里庙,长江西路,凤凰城",246套,87套,16149,16163.0
337691,"31.827527,117.315072",金悦领地,公寓,1.1元/㎡/月,2009年,44%(高),"合工大,马鞍山路,合家福",134套,56套,18255,18400.5
829809,"31.786085,117.214306",中环紫荆公馆,公寓,1.44元/㎡/月,2010年,40%(高),中环城,210套,43套,22978,22214.0
807823,"31.905728,117.321031",皇家尚品,公寓,1.4元/㎡/月,2016年,40%(高),瑶海公园,156套,5套,15875,15421.5
464905,"31.741144,117.299487",蓝鼎滨湖假日清华园,公寓,1.4元/㎡/月,2011年,40%(高),"滨湖世纪城,观湖苑,滨湖假日",190套,14套,21777,21776.0
943837,"31.734399,117.283309",书香门第(西苑),公寓,1.38元/㎡/月,暂无数据,暂无数据,书香门第,121套,83套,26274,25725.0
337434,"31.79324,117.213961",翠微苑,公寓,1.18元/㎡/月,2006年,41%(高),"港澳广场,芙蓉路",60套,40套,15688,16315.0
504288,"31.888501,117.374917",文一云河湾,公寓,1.1元/㎡/月,2015年,40%(高),海洲景秀世家,389套,14套,13385,13431.5
337588,"31.856948,117.288786",城市华庭,公寓,1.3元/㎡/月,2006年,40%(高),"南熏门桥,芜湖路,大钟楼",74套,8套,18960,19970.0
337656,"31.760333,117.196467",幸福大街,公寓,1.2元/㎡/月,2008年,40%(高),肥西县城,23套,26套,14693,14889.0
1046055,"31.893645,117.240306",万科森林公园曦园,公寓,2.7元/㎡/月,暂无数据,40%(高),"万科森林公园,四里河",73套,1套,26307,25778.5
337708,"31.874162,117.311124",金色梧桐,公寓,1.15元/㎡/月,2014年,20%(一般),明光路,149套,33套,14286,14228.5
337400,"31.891167,117.277089",元一滨水城,公寓,1.4元/㎡/月,2005年,32%(一般),"北一环,蒙城路,和煦园",134套,暂无数据,20123,19752.5
828328,"31.752283,117.319131",城建琥珀瑞安家园,公寓,1.44元/㎡/月,2013年,40%(高),"万科蓝山,寿春中学",260套,35套,19158,19109.0
337685,"31.818196,117.265524",天下锦城康桥郡,公寓,1.44元/㎡/月,2012年,40%(高),"姚公庙,南门换乘中心",107套,4套,20826,20891.5
780459,"31.856062,117.142029",华纺新华城,公寓,0.5元/㎡/月,2016年,20%(一般),客运西站,104套,33套,20647,19727.0
911216,"31.884248,117.326353",信地城市广场,公寓,1.44元/㎡/月,暂无数据,40%(高),火车站,150套,65套,15318,15655.5
925587,"31.741428,117.315265",佳源巴黎都市(二期),公寓,1.6元/㎡/月,暂无数据,41.8%(高),"万科蓝山,寿春中学",255套,51套,20853,20094.0
338295,"31.83702,117.233773",蜀鑫雅苑,公寓,0.8元/㎡/月,2008年,40%(高),"1912商业街,望江西路,黄潜望",69套,47套,21690,22474.5
828715,"31.990377,117.268452",光明北部湾,公寓,0.8元/㎡/月,2017年,40%(高),力高共和城,201套,13套,11296,11299.0
798992,"31.71738,117.273905",云谷名庭,公寓,2.5元/㎡/月,2018年,41%(高),"云谷路,高速时代广场",428套,43套,18319,17234.0
1048093,"31.716386,117.284853",万象公馆南区,公寓,1.4元/㎡/月,2012年,45%(高),高速时代广场,315套,43套,18136,17226.0
337934,"31.871579,117.266741",翡翠园,公寓,0.35元/㎡/月,2000年,40%(高),"琥珀山庄,清溪路,三里庵",89套,30套,14509,14958.0
337970,"31.857166,117.230129",岳西新村,公寓,0.2元/㎡/月,2000年,40%(高),"国防科技大学,长江西路,贵池路",66套,9套,15687,15941.5
494126,"31.738565,117.304531",蓝鼎滨湖假日金榈园,公寓,1.2元/㎡/月,2013年,40%(高),"滨湖世纪城,观湖苑,滨湖假日",126套,18套,23586,23157.5
944264,"31.838318,117.231308",华地公馆(西区),公寓,1.44元/㎡/月,2013年,40%(高),"1912商业街,望江西路,黄潜望",130套,20套,27608,27514.0
653939,"31.798998,117.211218",融创城融祥园,公寓,1.42元/㎡/月,2016年,40%(高),"芙蓉路,港澳广场",213套,87套,20854,20071.0
338176,"31.882793,117.315895",元一时代花园,公寓,1.1元/㎡/月,2001年,20%(一般),火车站,135套,21套,14741,14437.5
338108,"31.868944,117.318901",省直和平花园,公寓,0.4元/㎡/月,2000年,20%(一般),和平广场,101套,9套,16683,16910.0
337446,"31.787886,117.262777",福禄园,公寓,0.5元/㎡/月,2002年,55%(高),"南艳湖,海恒社区",139套,24套,13214,13128.0
409522,"31.858886,117.164889",蜀麓苑,公寓,1.4元/㎡/月,2012年,40%(高),"四季花海,大蜀山",43套,12套,16496,16580.0
399308,"31.871299,117.364599",金辉枫尚,公寓,1.4元/㎡/月,2013年,43%(高),长江批发市场,164套,9套,14431,14486.0
879958,"31.810833,117.220737",国建香谢水都(别墅),别墅,暂无数据,2011年,52%(高),合肥八中,8套,暂无数据,28232,26386.5
946429,"31.910457,117.379412",合郢花园,公寓,1元/㎡/月,暂无数据,暂无数据,职教城,14套,21套,8139,8454.0
337503,"31.892633,117.357096",实嘉原创生活,公寓,1.2元/㎡/月,2011年,35%(一般),生态公园,107套,3套,13606,13409.0
338071,"31.811349,117.225843",书香苑,公寓,0.8元/㎡/月,2007年,35%(一般),天鹅湖,51套,7套,28322,28387.0
399220,"31.854554,117.253854",领势公馆,公寓,1.44元/㎡/月,2012年,45%(高),"贵池路,国防科技大学,安徽大学",129套,22套,22807,21894.5
337494,"31.892924,117.341743",巴黎春天,公寓,1元/㎡/月,2008年,41%(高),生态公园,167套,16套,13091,13222.0
828386,"31.85391,117.227372",大溪地天润轩,公寓,1.2元/㎡/月,2016年,48%(高),"黄山路,1912商业街,贵池路",236套,30套,21275,21114.5
579129,"31.772639,117.22198",和安家园,公寓,1.3元/㎡/月,2012年,40%(高),肥西县城,106套,86套,16283,16289.5
337404,"31.881051,117.290163",中央花园,公寓,1.2元/㎡/月,2005年,40%(高),"白水坝,北一环,双岗",59套,6套,16106,16115.5
940386,"31.707847,117.158002",翰林水岸上园,公寓,1.3元/㎡/月,2014年,45%(高),肥西县城,130套,8套,13397,13503.5
655808,"31.748114,117.278873",江汽六村,公寓,0.3元/㎡/月,2003年,23%(一般),"经开周边,南艳湖",45套,26套,15986,15161.0
441179,"31.951055,117.199487",玉成明珠苑,公寓,暂无数据,2000年,28%(一般),岗集,74套,13套,9332,9342.5
829670,"31.713306,117.284689",文一豪门金地,公寓,1.44元/㎡/月,2016年,40%(高),"云谷路,高速时代广场",101套,15套,20050,18959.5
378679,"31.799892,117.339367",华盛格林丽景,公寓,1元/㎡/月,2011年,42%(高),"葛大店,包河周边,包河工业园",262套,26套,15757,15644.0
996769,"31.802088,117.260165",融侨观澜,公寓,1.44元/㎡/月,暂无数据,40%(高),"姚公庙,南门换乘中心",96套,暂无数据,12001,12694.5
337639,"31.898021,117.330927",安粮双景佳苑,公寓,1.05元/㎡/月,2010年,暂无数据,"家天下,瑶海公园",100套,42套,13204,13331.0
337640,"31.738941,117.288616",滨湖明珠(西区),公寓,1.2元/㎡/月,2007年,40%(高),"书香门第,四十六中",160套,44套,25039,24808.5
337735,"31.824586,117.240098",华邦世贸城,公寓,1.2元/㎡/月,2011年,35%(一般),市政务办公区,145套,84套,23596,22712.5
798306,"31.812713,117.268286",信达天御琅诗郡,公寓,1.44元/㎡/月,2018年,40%(高),"姚公庙,南门换乘中心",210套,18套,20975,19778.5
952704,"31.872007,117.247216",龙居山庄,公寓,0.6元/㎡/月,2010年,41%(高),"金牛路,省农机校,青阳北路",139套,24套,15656,15735.5
1001416,"31.907656,117.238309",文一名门湖畔(西区),公寓,1.44元/㎡/月,2016年,35%(一般),"大杨镇,四里河",125套,54套,17504,17133.0
337913,"31.827193,117.291815",包河银杏苑,公寓,1元/㎡/月,2000年,40%(高),"宁国路,太宁路口,卫岗",178套,13套,14545,14647.0
446619,"31.859176,117.264589",梅园公寓,公寓,暂无数据,2012年,20%(一般),"五里墩,安徽农业大学,三里庵",29套,33套,25075,25544.0
337374,"31.843715,117.244882",新华学府花园,公寓,1.3元/㎡/月,2002年,41%(高),"黄山路,望江西路,肉联厂",83套,暂无数据,20281,20198.5
337783,"31.78094,117.236868",百乐门悦府,公寓,1.2元/㎡/月,2010年,50%(高),"南艳湖,明珠广场",101套,98套,15684,15486.5
337736,"31.886531,117.278626",南国花园,公寓,0.6元/㎡/月,1999年,25%(一般),"财富广场,亳州路",129套,52套,16503,16578.5
338490,"31.799031,117.324838",华盛格林雅地,公寓,1元/㎡/月,2009年,40%(高),"葛大店,包河周边,包河工业园",150套,50套,15658,15357.5
913315,"31.845451,117.227255",金大地1912小区,公寓,1.4元/㎡/月,暂无数据,暂无数据,"黄潜望,黄山路,1912商业街",568套,88套,22295,21898.5
1001409,"31.815882,117.274371",绿地中心公馆,公寓,1.44元/㎡/月,暂无数据,22%(一般),"姚公庙,南门换乘中心",88套,10套,20585,19609.0
337459,"31.858325,117.327973",宝业城市绿苑(东区),公寓,1.1元/㎡/月,2013年,50%(高),铜陵路,299套,9套,16598,16694.0
337650,"31.908321,117.333405",馥邦商务广场,商住楼,1.07元/㎡/月,2008年,31%(一般),生态公园,38套,21套,5370,5557.5
338618,"31.816697,117.299901",望湖城桂香居金桂苑,公寓,1元/㎡/月,2010年,40%(高),"望湖城,凌大塘,高铁南站",136套,4套,19066,19493.5
399187,"31.904499,117.345783",帝豪星港湾,公寓,1元/㎡/月,2009年,35%(一般),新海公园,122套,13套,13758,13852.5
767182,"31.824319,117.142785",复兴家园,公寓,1.5元/㎡/月,暂无数据,暂无数据,大蜀山,20套,84套,11350,10734.0
828767,"31.806872,117.274286",国贸天悦,公寓,1.44元/㎡/月,暂无数据,35%(一般),"姚公庙,南门换乘中心",151套,14套,19405,19112.0
829253,"31.817786,117.272214",绿地御徽,公寓,3元/㎡/月,2016年,40%(高),"姚公庙,南门换乘中心",48套,暂无数据,21339,21402.0
786033,"31.883856,117.355761",瑶海万达广场,商住楼,2元/㎡/月,2007年,35%(一般),瑶海万达广场,208套,146套,9615,9347.0
828187,"31.720259,117.316129",宝能城(一期),公寓,1.44元/㎡/月,2014年,40%(高),"云谷路,环湖CBD",416套,102套,18612,18315.0
806373,"32.043048,117.27324",奥青城,公寓,0.6元/㎡/月,2016年,40%(高),元一高尔夫,128套,4套,10363,9977.5
337337,"31.867961,117.378406",静安新城,公寓,0.8元/㎡/月,2006年,42%(高),静安新城,90套,5套,11477,11474.5
337491,"31.895202,117.326655",中兴西湖花园,公寓,1元/㎡/月,2004年,40%(高),瑶海公园,149套,45套,12871,12819.0
502369,"31.865504,117.173105",博威香山丽舍,公寓,0.8元/㎡/月,2008年,20%(一般),"大蜀山,四季花海",283套,29套,17314,17558.0
505637,"31.844594,117.233993",盛世名城,公寓,0.72元/㎡/月,2006年,35%(一般),"黄山路,1912商业街,黄潜望",126套,42套,19614,19583.0
829719,"31.82917,117.154254",新华御湖上园,公寓,2.7元/㎡/月,2017年,40%(高),"大蜀山,柏堰湖",55套,26套,16644,16690.0
797804,"31.959651,117.192311",金地丽景,公寓,0.38元/㎡/月,2017年,42%(高),岗集,143套,6套,10721,10735.5
554490,"31.856846,117.19814",和庄别墅,别墅,1.68元/㎡/月,2004年,48%(高),"大铺头,大蜀山",26套,6套,23182,23147.5
337632,"31.876631,117.384485",琥珀名城沁园,公寓,1元/㎡/月,2009年,40%(高),"龙岗,琥珀名城",254套,24套,13975,13743.5
797774,"31.910087,117.239825",中国铁建国际城和畅园,公寓,1.1元/㎡/月,2011年,40%(高),"大杨镇,四里河",143套,12套,18673,18368.5
574269,"31.749137,117.324768",高速时代城(二期),公寓,1.5元/㎡/月,2014年,40%(高),"万科蓝山,寿春中学",291套,19套,19640,19614.5
829671,"31.890928,117.430196",文一名都,公寓,1.85元/㎡/月,暂无数据,40%(高),肥东新城,158套,49套,11298,11313.0
828946,"31.870646,117.185334",华润桃源里,公寓,1.75元/㎡/月,暂无数据,30%(一般),高新周边,127套,20套,18780,17993.0
337666,"31.83447,117.254918",华润幸福里(北区),公寓,1.4元/㎡/月,2013年,40%(高),"黄山路,望江西路,肉联厂",178套,10套,20992,20560.0
337520,"31.835769,117.220558",和一花园,公寓,0.8元/㎡/月,2010年,40%(高),客运西站,97套,30套,14819,14821.0
337998,"31.841288,117.281048",南园新村,公寓,0.5元/㎡/月,2000年,40%(高),"东陈岗,中铁四局",167套,16套,15237,15143.5
779048,"31.755363,117.283097",绿地滨湖印象,公寓,1.44元/㎡/月,2016年,40%(高),"海恒社区,南艳湖",182套,38套,18647,17268.5
337874,"31.855903,117.308422",风和园,公寓,0.5元/㎡/月,2000年,40%(高),"南熏门桥,芜湖路,大钟楼",106套,27套,16650,16526.5
786048,"31.860966,117.309012",万达中心名宅,公寓,3.93元/㎡/月,2008年,10%(低),"南熏门桥,芜湖路,大钟楼",200套,39套,19524,19488.0
942884,"31.721003,117.311091",联投中心书城,公寓,1.44元/㎡/月,暂无数据,40%(高),"环湖CBD,万达文旅城",409套,暂无数据,18518,18072.0
607013,"31.869107,117.180661",科学家园,公寓,0.43元/㎡/月,2011年,10%(低),大蜀山,68套,1套,17557,17732.0
399364,"31.789738,117.367335",国开公馆,公寓,1.2元/㎡/月,2012年,44%(高),"葛大店,包河周边,包河工业园",100套,27套,13553,13557.5
337744,"31.860303,117.178715",沃野花园,公寓,1.2元/㎡/月,2012年,45%(高),"四季花海,大蜀山",198套,30套,16557,16500.5
910776,"31.839811,117.239421",港汇广场,公寓,1.44元/㎡/月,2013年,25.5%(一般),"黄山路,望江西路,肉联厂",75套,37套,18366,18088.0
911837,"31.880739,117.314143",元一时代广场,公寓,1元/㎡/月,暂无数据,暂无数据,元一时代广场,55套,20套,13064,12851.0
376978,"31.810387,117.311115",望湖嘉苑,公寓,1.05元/㎡/月,2014年,41%(高),"望湖城,凌大塘,高铁南站",117套,34套,19381,19468.5
337569,"31.79632,117.204072",明珠湖畔,公寓,1.08元/㎡/月,2007年,45%(高),港澳广场,108套,26套,15556,15817.5
337354,"31.805189,117.222857",信达水岸茗都,公寓,1.1元/㎡/月,2008年,43%(高),奥体中心,125套,51套,29413,26223.5
1002479,"31.912207,117.289046",蓝光半岛公馆,公寓,暂无数据,暂无数据,40%(高),菱湖公园,345套,暂无数据,15349,15280.0
337673,"31.89279,117.361963",国耀园上园,公寓,0.6元/㎡/月,2012年,40%(高),生态公园,279套,24套,14031,14144.0
792917,"31.928482,117.310179",华润熙云府,公寓,1.44元/㎡/月,2016年,40%(高),天水路,182套,6套,14524,14495.5
338375,"31.750798,117.30599",徽昌苑,公寓,1.2元/㎡/月,2011年,40%(高),"观湖苑,滨湖世纪城",291套,93套,17261,17278.0
790101,"31.93786,117.332251",绿地香树花城,公寓,1.2元/㎡/月,2012年,40%(高),陶冲湖,236套,15套,12812,12868.0
337804,"31.889953,117.265271",畅园新村,公寓,暂无数据,1998年,35%(一般),"亳州路,北一环",133套,36套,14223,14372.5
337772,"31.82033,117.252077",陶然居,公寓,1.2元/㎡/月,2009年,40%(高),"天鹅湖,荷叶地",42套,15套,21608,21391.0
765778,"31.718259,117.28318",万象公馆北区,公寓,1.4元/㎡/月,2016年,40%(高),"云谷路,高速时代广场",188套,20套,18286,17907.5
337660,"31.802471,117.213049",报业园,公寓,0.95元/㎡/月,2007年,44%(高),"芙蓉路,禹洲天境",83套,42套,18823,18602.0
721066,"31.963503,117.272269",恒泰阿奎利亚,公寓,1.25元/㎡/月,2009年,40%(高),阿奎利亚,50套,10套,10775,10617.5
829805,"31.720029,117.302782",中海滨湖央墅,别墅,4元/㎡/月,暂无数据,50%(高),"云谷路,环湖CBD",129套,暂无数据,28590,29332.0
828194,"31.860707,117.323955",宝业城市绿苑(西区),公寓,1元/㎡/月,2010年,40%(高),铜陵路,301套,13套,19756,19799.5
337545,"31.791516,117.196724",瑞泽源一里洋房,公寓,1.18元/㎡/月,2008年,36%(一般),"港澳广场,芙蓉路",349套,37套,15783,15858.5
337686,"31.767725,117.219022",多伦多花园,公寓,1.2元/㎡/月,2016年,41%(高),肥西县城,120套,53套,14825,14872.5
793769,"32.014027,117.254116",北城世纪城裕徽苑,公寓,1元/㎡/月,暂无数据,暂无数据,"力高共和城,北城世纪城",251套,22套,11438,11607.0
879882,"31.711448,117.311439",万达银座,商住楼,0.9元/㎡/月,2014年,暂无数据,"环湖CBD,万达文旅城",220套,447套,10009,10498.5
399315,"31.809487,117.215784",国贸天琴湾,公寓,1.45元/㎡/月,2013年,41%(高),合肥八中,200套,73套,27130,26852.0
337551,"31.816516,117.216592",国际丽晶城,公寓,1.2元/㎡/月,2006年,44%(高),合肥八中,166套,32套,26623,25503.5
399304,"31.861317,117.181546",西城山水居,公寓,1.2元/㎡/月,2013年,45%(高),"四季花海,大蜀山",143套,32套,18231,18145.5
879964,"31.82185,117.220322",内森庄园(别墅),别墅,暂无数据,2011年,40%(高),"合肥八中,天鹅湖",124套,暂无数据,30526,30519.0
337714,"31.82823,117.280821",宝业桐城绿苑,公寓,1.1元/㎡/月,2010年,41%(高),"东陈岗,中铁四局",123套,11套,18897,18238.0
337684,"31.835052,117.23408",华邦光明世家,公寓,1.2元/㎡/月,2010年,40%(高),"1912商业街,望江西路,黄潜望",150套,72套,27093,25961.0
868514,"31.820278,117.249495",旭辉花园,公寓,1.1元/㎡/月,2011年,42%(高),天鹅湖,75套,51套,26973,26338.0
337370,"31.805599,117.226905",颐园世家,公寓,1.1元/㎡/月,2006年,41%(高),奥体中心,138套,11套,28201,25396.0
993794,"31.797185,117.201084",禹洲华侨城(三期)枫园,公寓,暂无数据,2017年,41%(高),肥西县城,187套,51套,16675,16632.5
337432,"31.86158,117.196518",枫丹白鹭湖公馆,公寓,1元/㎡/月,2006年,40%(高),"大铺头,大蜀山",178套,27套,15423,15365.0
641548,"31.886296,117.271393",祥源翡丽城,公寓,1.33元/㎡/月,2013年,45%(高),"财富广场,北一环,亳州路",154套,55套,19011,19462.0
399432,"31.831276,117.299847",益力檀宫,公寓,3.98元/㎡/月,2011年,40%(高),"宁国路,太宁路口,卫岗",77套,15套,19200,18968.5
337486,"31.832826,117.306376",力高柏林春天,公寓,1.18元/㎡/月,2007年,50%(高),"宁国路,太宁路口,卫岗",183套,39套,14648,15118.5
879972,"31.902528,117.327993",家天下三期,公寓,1.1元/㎡/月,2014年,50%(高),"武里山天街,瑶海公园 ,家天下",162套,86套,16815,16834.5
914770,"31.862034,117.286423",合作经济广场,公寓,暂无数据,2013年,25%(一般),南门小学,66套,暂无数据,47767,48621.5
338467,"31.820226,117.210982",百商尚成花园,公寓,1元/㎡/月,2011年,40%(高),"香樟大道,科学大道",67套,14套,16723,16259.5
504290,"31.780737,117.351738",滨湖南丽湾,公寓,1.35元/㎡/月,2014年,42%(高),"葛大店,包河周边,包河工业园",251套,16套,16064,15253.5
399289,"31.869573,117.325399",华润紫云府,公寓,1.44元/㎡/月,2012年,40%(高),铜陵路,261套,44套,19965,19872.5
910775,"31.818536,117.198794",景尚名郡,公寓,1.1元/㎡/月,暂无数据,43%(高),肥西县城,63套,34套,15921,16392.0
374580,"31.815136,117.305517",望湖城桂香居福桂苑,公寓,1.2元/㎡/月,2008年,40%(高),"望湖城,凌大塘,高铁南站",102套,10套,20057,20200.5
399441,"31.871845,117.224605",御安西苑,公寓,1.1元/㎡/月,2014年,40%(高),"十里庙,凤凰城",295套,33套,15112,15014.0
337884,"31.857529,117.299804",宁国新村,公寓,0.5元/㎡/月,2000年,40%(高),"南熏门桥,芜湖路,大钟楼",146套,21套,17567,16864.5
337547,"31.8075,117.223531",三盛颐景园,公寓,1.2元/㎡/月,2007年,40%(高),"奥体中心,天鹅湖",77套,7套,30321,28655.5
337457,"31.801424,117.216614",文锦新城,公寓,1.44元/㎡/月,2007年,40%(高),"芙蓉路,港澳广场",117套,38套,16121,16047.5
338335,"31.782932,117.196393",磬苑小区,公寓,0.72元/㎡/月,2008年,35%(一般),"大学城,翡翠湖",76套,3套,21227,20089.5
828458,"31.808398,117.192737",鼎元公馆,公寓,1.4元/㎡/月,2014年,40%(高),肥西县城,72套,45套,15734,15691.5
788444,"31.778838,117.237373",尚泽大都会,公寓,1.42元/㎡/月,2013年,40%(高),"莲花路,明珠广场",43套,120套,16542,16861.0
337729,"31.86814,117.257519",登云庭,公寓,1元/㎡/月,2009年,43%(高),"五里墩,合作化路,三里庵",110套,30套,15871,15708.5
872115,"31.74842,117.311727",利港银河广场,公寓,1.44元/㎡/月,2017年,40%(高),"万科蓝山,寿春中学",95套,16套,20220,19802.0
1003860,"31.81951,117.242481",融创合肥壹号院(商住楼),商住楼,1元/㎡/月,暂无数据,35%(一般),天鹅湖,199套,90套,14310,15464.5
337910,"31.891976,117.282403",和煦园,公寓,0.8元/㎡/月,2004年,31%(一般),北一环,152套,46套,15940,15566.5
373031,"31.721927,117.163765",名邦西城国际,公寓,1.4元/㎡/月,2010年,43%(高),肥西县城,201套,49套,14847,14901.0
338088,"31.896604,117.288345",祥源上城国际玫瑰苑,公寓,1.15元/㎡/月,2009年,35%(一般),"海棠社区,杏林花园",284套,35套,16368,16524.5
828400,"31.890311,117.302976",大众时代之光,公寓,1.44元/㎡/月,2018年,40%(高),火车站,448套,50套,14476,13047.5
879951,"31.995485,117.259114",半岛一号(南区别墅),别墅,2元/㎡/月,2013年,40%(高),"力高共和城,北城世纪城",39套,1套,13420,14808.5
829686,"31.942646,117.349334",文一陶冲湖城市广场,公寓,1.2元/㎡/月,暂无数据,40%(高),陶冲湖,266套,20套,12857,12881.0
396830,"31.787459,117.220079",紫御府,公寓,1.28元/㎡/月,2013年,47%(高),中环城,126套,16套,23598,21540.0
879875,"31.740742,117.158671",新型家园,公寓,暂无数据,暂无数据,暂无数据,肥西县城,25套,暂无数据,7414,7644.0
464548,"31.836318,117.320527",碧湖云溪(二期),公寓,1.26元/㎡/月,2008年,40%(高),"合工大,马鞍山路,合家福",116套,8套,19181,18578.0
338735,"31.869145,117.239777",凤凰城燕园,公寓,0.62元/㎡/月,2011年,40%(高),"金牛路,省农机校,凤凰城",183套,19套,16346,16401.0
337375,"31.882747,117.276168",置地栢景湾,公寓,1.38元/㎡/月,2009年,32%(一般),亳州路,226套,17套,22464,22424.0
337500,"31.900347,117.337917",香江生态丽景,公寓,0.5元/㎡/月,2009年,40%(高),"家天下,生态公园",234套,43套,12764,12987.5
337850,"31.88157,117.281194",可苑新村,公寓,0.5元/㎡/月,2000年,36%(一般),亳州路,109套,38套,13541,13612.5
337453,"31.799399,117.238391",浅水湾,公寓,1元/㎡/月,2004年,50%(高),芙蓉路,71套,57套,17323,17677.5
337441,"31.854381,117.203742",园景天下,公寓,0.9元/㎡/月,2005年,45%(高),"香樟大道,绿城桂花园",211套,21套,17483,17503.0
879896,"31.841313,117.293936",宝利丰广场,公寓,1.44元/㎡/月,2016年,30%(一般),"东陈岗,宁国路",239套,100套,17450,17574.0
399217,"31.880519,117.298654",融侨观邸,公寓,1.25元/㎡/月,2013年,33%(一般),逍遥津,159套,21套,23425,23669.0
337694,"31.788387,117.179895",东冠繁华逸城,公寓,0.6元/㎡/月,2014年,40%(高),禹洲天玺,169套,33套,14346,14843.5
337406,"31.849789,117.281718",创景花园,公寓,1.28元/㎡/月,2007年,40%(高),百脑汇,123套,11套,20974,21229.0
372909,"31.844083,117.229293",维也纳森林花园,公寓,0.7元/㎡/月,2005年,50%(高),"1912商业街,望江西路,黄潜望",109套,21套,24289,24243.0
337428,"31.884187,117.341624",香格里拉花园,公寓,1元/㎡/月,2008年,40%(高),临泉东路,280套,57套,13675,13716.5
338130,"31.908968,117.311165",兴海苑,公寓,0.5元/㎡/月,2000年,35%(一般),瑶海公园,116套,2套,10814,10949.5
337719,"31.818506,117.217449",乐富强御龙湾,公寓,1.2元/㎡/月,2011年,41%(高),合肥八中,338套,147套,27434,26458.0
938041,"31.85941,117.162618",加侨悦山城(东区),公寓,1.44元/㎡/月,暂无数据,35%(一般),"大蜀山,四季花海",203套,52套,19302,18468.5
337427,"31.74689,117.249453",南郡明珠,公寓,1.1元/㎡/月,2011年,45%(高),经开周边,138套,8套,13632,13484.5
337651,"31.811091,117.213871",融侨天骏,公寓,1.25元/㎡/月,2013年,43%(高),合肥八中,275套,62套,25297,25177.5
829685,"31.723658,117.325535",文一塘溪津门,公寓,2元/㎡/月,暂无数据,40%(高),"云谷路,环湖CBD",112套,暂无数据,21834,20527.0
912124,"31.906913,117.24248",明发商业广场,公寓,1.3元/㎡/月,暂无数据,21%(一般),"四里河,大杨镇",60套,8套,12857,12975.5
399366,"31.92465,117.331366",金辉悦府,公寓,1.44元/㎡/月,2015年,41%(高),天水路,192套,45套,13030,12997.5
828394,"31.851078,117.229892",大溪地御倾城,公寓,1.2元/㎡/月,2016年,50%(高),"黄山路,1912商业街,贵池路",257套,45套,22516,21899.0
943828,"31.855672,117.147547",海亮九玺(北区),公寓,1.44元/㎡/月,暂无数据,36%(一般),"蜀西湖,客运西站",188套,46套,19419,19135.5
828202,"31.896537,117.402946",保利罗兰春天,公寓,1.85元/㎡/月,2018年,40%(高),职教城,155套,24套,13901,13524.0
337542,"31.816841,117.220711",山水名城,公寓,1.1元/㎡/月,2007年,41%(高),"天鹅湖,合肥八中",130套,30套,22592,22533.0
910774,"31.860166,117.211904",拓基城市广场,公寓,1.2元/㎡/月,2010年,40%(高),科学大道,84套,34套,18493,18292.0
458563,"31.829916,117.17794",绿地乔治庄园,公寓,1.3元/㎡/月,2012年,45%(高),大蜀山,120套,3套,21987,21394.5
399233,"31.859896,117.228433",丰盛华庭,公寓,1.1元/㎡/月,2011年,41%(高),长江西路,195套,35套,18871,18547.0
365807,"31.751012,117.300579",徽贵苑,公寓,1元/㎡/月,2011年,40%(高),"观湖苑,滨湖世纪城",460套,137套,17186,17193.5
